Participant,Start,End,Duration,Sentiment ,Decision ,Sentence
1.Blue.126,08:33.6,08:35.0,00:01.4,,Agreement,"""Yeah."""
1.Pink.115,08:36.5,08:39.8,00:03.3,,Proposal,"""And then chocolate bar is eleven?"""
1.Blue.127,08:37.9,08:40.0,00:02.1,,Agreement,"""Like chocolate bar eleven."""
1.Green.88,08:40.0,08:40.8,00:00.8,,Agreement,"""Sure."""
1.Blue.128,08:41.0,08:42.3,00:01.2,Positive,,"""$"""
1.Pink.116,08:41.2,08:42.9,00:01.7,Positive,,"""And twelve... $"""
1.Blue.129,08:42.3,08:44.0,00:01.7,Positive,,"""I like chocolate yeah."""
1.Pink.117,08:43.3,08:44.2,00:00.9,Positive,,"""Same here."""
1.Blue.130,08:44.2,08:46.1,00:01.9,,,"""I guess does that work?"""
1.Pink.118,08:46.0,08:46.3,00:00.3,,,"""Mhm."""
1.Green.89,08:47.1,08:48.1,00:01.0,,,"""Wanna read them all?"""
1.Pink.119,08:49.1,09:21.1,00:32.0,,,"""One is knife, two compass, three cigarette lighter without fluid, four ball of steel wool, five uh sectional air map made of plastic, six compress kit, seven loaded forty five caliber pistol, eight thirty feet of rope, nine extra shirt and pants, ten newspaper, eleven family sized chocolate bar, twelve whiskey, thirteen shortening, fourteen flashlight, fifteen ski polls."""
1.Blue.131,09:22.0,09:25.4,00:03.4,,Proposal,"""I honestly kinda feel like newspaper and chocolate bar should switch, but I mean."""
1.Green.90,09:24.6,09:25.3,00:00.7,,Agreement,"""Same."""
1.Pink.120,09:25.4,09:26.2,00:00.7,,Agreement,"""Okay."""
1.Green.91,09:27.4,09:27.8,00:00.4,,Agreement,"""Yep."""
1.Green.92,09:29.7,09:32.2,00:02.5,,Proposal,"""I would almost say throw newspaper even farther down than that."""
1.Pink.121,09:33.1,09:35.1,00:02.0,,Confirmation,"""Okay, so eleven and ten."""
1.Green.93,09:35.1,09:35.5,00:00.4,,,"""Yep."""
1.Blue.132,09:41.2,09:42.3,00:01.1,,,"""Yep, okay."""
1.Green.94,09:41.4,09:42.1,00:00.7,Positive,,"""Yep, looks good."""
1.Pink.122,09:43.4,09:43.8,00:00.5,Positive,,"""Perfect."""
1.Green.95,09:44.8,09:45.2,00:00.5,,,"""Okay."""
