Participant,Start,End,Duration,Sentiment,Decision,Private,Survival Item,Sentence
8.Green.98,06:56.5,07:01.1,00:04.7,,Proposal,,Whiskey,"""But I mean I think probably the whiskey would be easier because it has a higher chance of catching fire."""
8.Orange.126,06:59.6,07:00.0,00:00.4,,,,,"""Sure."""
8.Green.99,07:01.2,07:02.0,00:00.8,,,,,"""That's just my thought."""
8.Orange.127,07:01.3,07:03.6,00:02.2,,Agreement,,Whiskey,"""Yeah, let's go with whiskey if you're okay with that."""
8.Green.100,07:02.5,07:03.2,00:00.7,,,,,"""For five?"""
8.Blue.73,07:03.5,07:04.7,00:01.2,,Agreement,,,"""As five, sure. """
8.Green.101,07:03.6,07:04.5,00:00.9,,,,,"""Are you okay with that?"""
8.Blue.74,07:04.7,07:06.9,00:02.2,Positive,,,Whiskey,"""As always, that alcohol is very important."""
8.Orange.128,07:06.5,07:07.5,00:00.9,Positive,,,,"""$"""
8.Green.102,07:06.8,07:07.5,00:00.7,Positive,,,,"""$"""
8.Orange.129,07:08.4,07:11.1,00:02.7,,,,,"""Um, okay, and we were at eleven then?"""
8.Green.103,07:08.5,07:09.8,00:01.3,,,,Whiskey,"""Well, it catches fire, so."""
8.Blue.75,07:09.5,07:10.1,00:00.6,,,,,"""Hm."""
8.Green.104,07:11.3,07:12.0,00:00.7,,,,,"""Yes."""
8.Orange.130,07:12.3,07:12.7,00:00.5,,,,,"""Okay."""
8.Orange.131,07:12.9,07:17.0,00:04.1,,,,"Chocolate Bar, Flashlight, Newspaper, Ski Poles","""We have the chocolate bar, newspaper, ski poles, flashlight."""
8.Green.105,07:13.2,07:14.3,00:01.1,,,Private,Flashlight,"""I had the flashlight."""
8.Orange.132,07:17.0,07:19.8,00:02.8,,Proposal,,Flashlight,"""I think flashlight would be a good time to put that one."""
8.Green.106,07:19.1,07:21.3,00:02.2,,Agreement,,Flashlight,"""I think this would be a good time to have the flashlight $."""
8.Green.107,07:22.1,07:22.5,00:00.4,,Agreement,,,"""Yeah?"""
8.Orange.133,07:22.2,07:22.8,00:00.6,,,,,"""Yeah."""
8.Blue.76,07:22.5,07:23.2,00:00.7,,Agreement,,,"""Let's go for it."""
8.Green.108,07:23.2,07:23.8,00:00.6,,Agreement,,,"""Okay."""
8.Orange.134,07:23.4,07:23.8,00:00.4,,,,,"""Yeah."""
8.Orange.135,07:23.8,07:24.9,00:01.1,,,,,"""And then, twelve."""
8.Orange.136,07:25.5,07:29.0,00:03.5,,,,Steel Wool,"""Does anyone know what the function of a steel wool could be used for?"""
8.Green.109,07:29.0,07:31.4,00:02.4,,,,Steel Wool,"""It can be for cleaning stuff, or."""
8.Orange.137,07:31.5,07:32.1,00:00.6,Positive,,,,"""$"""
8.Green.110,07:31.8,07:35.1,00:03.3,Positive,,,,"""$ I don't know I'd have to -- if we can find something to clean."""
8.Orange.138,07:33.7,07:35.8,00:02.0,,,,Steel Wool,"""I'm sure there's some use for it, um."""
8.Green.111,07:35.1,07:36.7,00:01.6,,,,Steel Wool,"""Sure, we can something for it."""
8.Green.112,07:36.7,07:37.4,00:00.7,,,,,"""Um."""
8.Blue.77,07:36.7,07:42.4,00:05.7,,,,Steel Wool,"""Um, I thought it burns really bright so you can use it to signal but I don't know how well that would work if there's like trees."""
8.Orange.139,07:39.0,07:39.5,00:00.5,,,,,"""Yeah."""
8.Green.113,07:40.6,07:42.5,00:01.9,,,Private,Ski Poles,"""I had the ski poles as twelve."""
8.Green.114,07:42.5,07:46.3,00:03.8,,,,,"""Because you know if you're like hiking through the woods and you need to like pull yourself."""
8.Orange.140,07:46.1,07:48.4,00:02.3,,,,Ski Poles,"""But there's only two and there's three of us."""
8.Green.115,07:46.5,07:51.2,00:04.7,"Positive, Negative",,,,"""But that was just -- I know that's just awkward moment $."""
8.Orange.141,07:48.4,07:49.5,00:01.1,Negative,,,,"""Awkward."""
8.Orange.142,07:50.2,07:50.8,00:00.6,"Positive, Negative",,,,"""$"""
8.Blue.78,07:51.4,07:51.9,00:00.5,,,,,"""Oh."""
8.Orange.143,07:51.5,07:52.0,00:00.6,,,,,"""Um."""
8.Orange.144,07:53.2,07:55.5,00:02.4,,,,,"""I think, yeah, honestly these ones and --"""
8.Orange.145,07:56.4,07:58.2,00:01.8,,,,Newspaper,"""The newspaper could be used to start a fire."""
8.Orange.146,07:58.2,07:59.5,00:01.3,,,,Ski Poles,"""The poles could be used for the hiking."""
8.Orange.147,07:59.5,08:01.2,00:01.7,,,,Chocolate Bar,"""Chocolate bar we can eat."""
8.Orange.148,08:01.2,08:06.1,00:05.0,,Proposal,,Steel Wool,"""But the steel wool, I feel like that might be a fifteen probably."""
8.Green.116,08:06.2,08:07.4,00:01.2,,Agreement,,,"""Yeah, I'm thinking, yeah."""
8.Green.117,08:07.4,08:12.7,00:05.3,,,,Steel Wool,"""I'm not sure if I can find a really good reason to use steel wool at this exact moment especially."""
8.Orange.149,08:12.0,08:13.8,00:01.7,,Proposal,,Steel Wool,"""You want to put that one as a fifteen then?"""
8.Green.118,08:13.8,08:14.4,00:00.6,,Agreement,,,"""Yeah."""
8.Orange.150,08:14.1,08:14.5,00:00.4,,,,,"""Okay."""
8.Green.119,08:15.0,08:16.9,00:01.9,,Confirmation,,Steel Wool,"""Okay, so fifteen is steel wool."""
8.Orange.151,08:16.4,08:16.8,00:00.3,,,,,"""Yeah."""
8.Green.120,08:17.7,08:18.2,00:00.5,,,,,"""Okay."""
8.Green.121,08:18.5,08:20.7,00:02.2,,,,Newspaper,"""So, we still have newspaper."""
8.Orange.152,08:21.0,08:22.4,00:01.4,,,,,"""We're at twelve, thirteen."""
8.Orange.153,08:23.3,08:23.9,00:00.7,,,,,"""Um."""
8.Green.122,08:23.7,08:26.3,00:02.6,,,,"Chocolate Bar, Ski Poles","""Two ski poles, the family sized chocolate bar."""
8.Blue.79,08:26.9,08:29.9,00:03.0,,Proposal,,"Chocolate Bar, Newspaper, Ski Poles","""I'd rather have a chocolate bar than newspaper or ski poles."""
8.Orange.154,08:29.0,08:29.7,00:00.7,,Agreement,,,"""I would too."""
8.Orange.155,08:29.7,08:31.7,00:02.1,,Agreement,,Chocolate Bar,"""I'd probably put the chocolate bar as twelve."""
8.Green.123,08:29.9,08:30.5,00:00.6,,Agreement,,,"""Okay."""
8.Green.124,08:30.9,08:32.1,00:01.2,,Confirmation,,,"""So, twelve."""
8.Blue.80,08:31.2,08:31.6,00:00.4,,,,,"""Yeah."""
8.Orange.156,08:32.2,08:32.6,00:00.4,,,,,"""Yeah."""
8.Orange.157,08:33.3,08:36.0,00:02.7,,Proposal,,Newspaper,"""And then honestly, the newspaper probably could be last."""
8.Orange.158,08:36.0,08:37.2,00:01.2,,,,,"""For me anyways."""
8.Orange.159,08:37.2,08:37.9,00:00.7,,,,,"""Just cause."""
8.Green.125,08:37.5,08:40.2,00:02.8,,,,Steel Wool,"""We have a steel-steel-steel wool and stuff, so."""
8.Blue.81,08:39.5,08:40.2,00:00.8,,,,,"""Well, what if --"""
8.Orange.160,08:39.5,08:41.1,00:01.6,,,,,"""Well, like fourteen, yeah."""
8.Green.126,08:40.2,08:41.1,00:00.9,,,,,"""Like fourteen?"""
8.Blue.82,08:41.5,08:44.1,00:02.6,,,,Newspaper,"""What is the use of wet newspaper again?"""
8.Orange.161,08:43.9,08:44.3,00:00.4,,,,,"""Yeah."""
8.Orange.162,08:44.5,08:46.6,00:02.1,Negative,,,,"""Plus if it rains then we're all screwed."""
8.Green.127,08:46.1,08:47.7,00:01.6,,,,,"""Again I was going for fire."""
8.Blue.83,08:46.3,08:46.8,00:00.5,,,,,"""Yeah."""
8.Green.128,08:47.7,08:49.2,00:01.6,,,,,"""But that was before that, so."""
8.Blue.84,08:48.0,08:48.4,00:00.4,,,,,"""Hm."""
8.Orange.163,08:48.9,08:49.6,00:00.7,,,,,"""Um."""
8.Green.129,08:49.9,08:50.6,00:00.7,,,,,"""Um."""
8.Orange.164,08:50.2,08:53.7,00:03.4,,Proposal,,"Newspaper, Ski Poles","""We can do thirteen as the ski poles and then fourteen as newspaper, yeah."""
8.Green.130,08:51.4,08:52.7,00:01.3,,Proposal,,Ski Poles,"""Thirteen as the ski poles?"""
8.Green.131,08:53.7,08:54.1,00:00.5,,Agreement,,,"""Okay."""
8.Blue.85,08:53.7,08:54.3,00:00.6,,Agreement,,,"""Alright."""
8.Green.132,08:54.8,08:55.3,00:00.5,,,,,"""Alright."""
8.Blue.86,08:55.3,08:56.2,00:00.8,Positive,,,,"""Sounds good."""
8.Orange.165,08:55.9,08:56.5,00:00.7,Positive,,,,"""Cool."""
8.Green.133,08:56.1,08:56.8,00:00.7,Positive,,,,"""Sounds good to me."""
